#options: 1920x1118 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:117 out:119 type:b dur:2 cpbdur:2 q:25.48 aq:22.51 tex:1100 mv:97 misc:523 imb:1 pmb:31 smb:8368 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:25.21 aq:24.00 tex:1110 mv:83 misc:495 imb:2 pmb:21 smb:8377 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:24.93 aq:15.80 tex:6671 mv:401 misc:744 imb:34 pmb:48 smb:8318 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:25.00 aq:17.89 tex:165 mv:185 misc:530 imb:5 pmb:30 smb:8365 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:25.03 aq:19.74 tex:738 mv:66 misc:460 imb:0 pmb:14 smb:8386 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:24.96 aq:17.07 tex:794 mv:116 misc:450 imb:0 pmb:28 smb:8372 d:- ref:0 ;
in:127 out:125 type:P dur:2 cpbdur:2 q:24.02 aq:9.66 tex:174155 mv:14299 misc:1698 imb:5558 pmb:240 smb:2602 d:s ref:0 ;
in:125 out:126 type:B dur:2 cpbdur:2 q:24.62 aq:10.17 tex:7429 mv:6468 misc:2951 imb:965 pmb:1099 smb:6336 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:24.32 aq:13.61 tex:205 mv:972 misc:1799 imb:27 pmb:664 smb:7709 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:24.26 aq:18.75 tex:22287 mv:1485 misc:1916 imb:137 pmb:329 smb:7934 d:s ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:24.14 aq:9.18 tex:365 mv:3969 misc:1210 imb:944 pmb:62 smb:7394 d:s ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:24.08 aq:20.00 tex:5102 mv:1681 misc:1529 imb:61 pmb:410 smb:7929 d:s ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:24.20 aq:17.68 tex:5746 mv:5176 misc:1414 imb:488 pmb:268 smb:7644 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:23.26 aq:9.58 tex:155517 mv:4096 misc:2587 imb:1386 pmb:361 smb:6653 d:s ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:23.76 aq:11.84 tex:688 mv:701 misc:1619 imb:40 pmb:498 smb:7862 d:s ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:24.01 aq:13.12 tex:82 mv:217 misc:1461 imb:1 pmb:498 smb:7901 d:s ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:23.51 aq:15.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8400 d:- ref:0 ;
in:138 out:136 type:P dur:2 cpbdur:2 q:23.22 aq:14.67 tex:23612 mv:1255 misc:1749 imb:230 pmb:261 smb:7909 d:s ref:0 ;
in:136 out:137 type:B dur:2 cpbdur:2 q:23.25 aq:12.43 tex:370 mv:352 misc:734 imb:32 pmb:64 smb:8304 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:23.23 aq:20.75 tex:2035 mv:167 misc:662 imb:1 pmb:152 smb:8247 d:- ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:22.82 aq:12.91 tex:35695 mv:2593 misc:1800 imb:591 pmb:374 smb:7435 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:23.02 aq:11.26 tex:1421 mv:333 misc:798 imb:5 pmb:252 smb:8143 d:s ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:21.99 aq:12.54 tex:55592 mv:3198 misc:1778 imb:711 pmb:355 smb:7334 d:s ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:22.40 aq:23.27 tex:4509 mv:856 misc:731 imb:86 pmb:142 smb:8172 d:s ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:22.61 aq:20.52 tex:9942 mv:2651 misc:647 imb:343 pmb:156 smb:7901 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:22.19 aq:19.94 tex:1288 mv:90 misc:462 imb:0 pmb:14 smb:8386 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:21.63 aq:11.80 tex:23452 mv:1173 misc:1575 imb:181 pmb:213 smb:8006 d:s ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:21.81 aq:19.41 tex:1602 mv:306 misc:524 imb:4 pmb:52 smb:8344 d:s ref:0 ;
